index,Year_of_Release,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Platform_Unified
945,2013.0,Action,0.77,0.76,0.01,0.29,1.84,82.0,22.0,7.9,76.0,E10+,Sony
952,2014.0,Platform,0.61,0.34,0.79,0.09,1.83,80.0,68.0,8.8,206.0,E,Nintendo
955,2010.0,Platform,0.92,0.73,0.0,0.17,1.83,70.0,24.0,7.5,28.0,E,Nintendo
958,2011.0,Action,1.05,0.47,0.08,0.22,1.82,83.0,90.0,8.4,932.0,T,Sony
959,2012.0,Role-Playing,0.84,0.76,0.0,0.22,1.82,82.0,42.0,4.8,1265.0,T,
968,2016.0,Action,0.42,1.08,0.03,0.28,1.81,68.0,66.0,5.1,1147.0,M,Sony
974,2010.0,Action,1.41,0.2,0.03,0.16,1.8,89.0,46.0,7.6,105.0,E,Sony
975,2015.0,Racing,0.73,0.9,0.03,0.14,1.8,87.0,85.0,7.9,863.0,E,Microsoft
976,2014.0,Action,0.55,0.86,0.11,0.27,1.79,75.0,65.0,7.3,1223.0,M,Sony
989,2011.0,Action,1.01,0.6,0.0,0.15,1.76,76.0,7.0,7.7,10.0,E10+,Nintendo
1007,2016.0,Sports,1.25,0.17,0.0,0.32,1.75,82.0,35.0,4.9,83.0,E,Sony
1008,2010.0,Action,0.45,0.92,0.06,0.32,1.75,83.0,66.0,8.0,291.0,M,Sony
1015,2013.0,Misc,0.3,0.56,0.84,0.05,1.75,65.0,38.0,6.8,135.0,E,Nintendo
1022,2012.0,Action,1.05,0.52,0.03,0.14,1.74,55.0,61.0,3.5,145.0,T,Microsoft
1023,2012.0,Role-Playing,0.41,0.44,0.72,0.17,1.74,78.0,38.0,8.3,444.0,M,Sony
1026,2015.0,Shooter,0.61,0.78,0.06,0.27,1.74,63.0,94.0,6.6,3172.0,M,Sony
1028,2013.0,Platform,0.43,0.68,0.42,0.2,1.73,54.0,83.0,6.5,1074.0,E10+,Sony
1031,2010.0,Role-Playing,0.2,0.14,1.35,0.03,1.73,78.0,41.0,8.1,31.0,T,Nintendo
1033,2012.0,Action,0.68,0.88,0.01,0.17,1.73,79.0,51.0,7.1,453.0,M,Microsoft
1035,2014.0,Racing,0.35,1.08,0.03,0.26,1.72,61.0,60.0,5.4,575.0,T,Sony
